Case Number,Date,Primary Type,Location Description,Arrest,Domestic,District,Ward
JA140307,02/02/2017 14:30,THEFT,APARTMENT,FALSE,FALSE,7,16
JA140267,02/03/2017 11:30,ROBBERY,GAS STATION,FALSE,FALSE,6,21
JA140287,02/02/2017 15:00,MOTOR VEHICLE THEFT,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,9,16
JA140317,02/02/2017 14:18,OTHER OFFENSE,APARTMENT,FALSE,FALSE,8,15
JA140313,02/01/2017 09:00,THEFT,STREET,FALSE,FALSE,7,20
JA139706,02/02/2017 21:05,ROBBERY,RESTAURANT,FALSE,FALSE,8,23
JA140321,01/28/2017 12:00:00 AM,OFFENSE INVOLVING CHILDREN,RESIDENCE,FALSE,TRUE,8,15
JA140272,02/03/2017 12:15,NARCOTICS,SIDEWALK,TRUE,FALSE,7,16
JA140240,02/03/2017 11:30,THEFT,DEPARTMENT STORE,TRUE,FALSE,18,42
JA140264,02/03/2017 12:25,OTHER OFFENSE,ALLEY,TRUE,FALSE,11,28
JA140247,01/31/2017 12:30:00 AM,ROBBERY,ALLEY,FALSE,FALSE,5,34
JA140284,02/03/2017 12:31,CRIMINAL TRESPASS,OTHER,TRUE,FALSE,12,32
JA140249,02/03/2017 12:12,BATTERY,RESIDENCE,TRUE,FALSE,17,39
JA140290,02/03/2017 02:30,MOTOR VEHICLE THEFT,STREET,TRUE,FALSE,8,23
JA139957,02/03/2017 08:00,BATTERY,STREET,FALSE,FALSE,24,50
JA140099,02/03/2017 09:00,BATTERY,CHA APARTMENT,FALSE,TRUE,5,9
JA140329,01/26/2017 02:00:00 PM,THEFT,GROCERY FOOD STORE,FALSE,FALSE,4,8
JA140121,02/03/2017 10:50,ASSAULT,APARTMENT,FALSE,TRUE,15,37
JA140351,01/31/2017 07:00:00 PM,BURGLARY,RESIDENCE-GARAGE,FALSE,FALSE,24,50
JA140337,02/03/2017 12:20,MOTOR VEHICLE THEFT,ALLEY,FALSE,FALSE,10,24
JA140325,02/03/2017 13:00,NARCOTICS,SIDEWALK,TRUE,FALSE,19,46
JA140349,02/03/2017 13:00,CRIMINAL DAMAGE,STREET,FALSE,FALSE,18,43
JA140231,02/03/2017 11:58,THEFT,DEPARTMENT STORE,TRUE,FALSE,1,42
JA140266,02/03/2017 12:50,CRIMINAL TRESPASS,LIBRARY,TRUE,FALSE,9,25
JA140191,01/31/2017 09:00:00 PM,THEFT,STREET,FALSE,FALSE,25,31
JA140076,02/03/2017 10:11,BATTERY,OTHER,FALSE,FALSE,16,45
JA140136,02/03/2017 03:00,BURGLARY,RESIDENCE,FALSE,FALSE,3,6
JA140074,02/03/2017 08:34,NARCOTICS,RESIDENCE,TRUE,FALSE,7,16
JA139208,01/30/2017 02:00:00 PM,CRIMINAL DAMAGE,RESIDENCE-GARAGE,FALSE,FALSE,16,30
JA140347,02/02/2017 19:30,THEFT,STREET,FALSE,FALSE,16,45
JA140362,02/02/2017 22:00,MOTOR VEHICLE THEFT,VACANT LOT/LAND,FALSE,FALSE,7,17
JA140371,02/02/2017 21:00,CRIMINAL DAMAGE,STREET,FALSE,FALSE,15,29
JA140278,02/03/2017 12:45,ASSAULT,RESIDENCE,FALSE,TRUE,10,24
JA140205,02/02/2017 20:30,BATTERY,RESIDENCE,FALSE,TRUE,7,16
JA140301,02/03/2017 13:00,BATTERY,RESIDENCE,TRUE,TRUE,4,10
JA140178,02/03/2017 10:30,OTHER OFFENSE,RESIDENCE,FALSE,TRUE,22,34
JA140379,02/01/2017 00:01,THEFT,RESIDENCE,FALSE,FALSE,6,9
JA140387,01/30/2017 12:00:00 PM,THEFT,OTHER,FALSE,FALSE,4,7
JA140285,02/03/2017 11:50,THEFT,DEPARTMENT STORE,TRUE,FALSE,18,42
JA138982,02/02/2017 11:15,BATTERY,STREET,FALSE,FALSE,2,20
JA140326,02/03/2017 13:05,BURGLARY,APARTMENT,FALSE,FALSE,2,4
JA139976,02/01/2017 11:00,OTHER OFFENSE,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,22,34
JA135229,01/30/2017 11:55:00 AM,BATTERY,"SCHOOL, PUBLIC, BUILDING",FALSE,TRUE,2,2
JA140336,02/03/2017 13:50,BATTERY,STREET,FALSE,TRUE,5,9
JA140295,02/03/2017 11:50,NARCOTICS,STREET,TRUE,FALSE,10,24
